id,en,jpn
S00,History,履歴よりファイルを開く
S01,File dialog ,ファイルオープンダイアログ
S02,Create,新規作成
S03,Prefix for state-machine files,各ファイルで使用するプリフックス
S04,Destination for saving the excel file,エクセルファイルの保存先
S05,Destination for generating source files,生成ソースの保存先
S06,Skip to copy the state-manager file,ステートマネージャファイル保存をスキップ
S07,※ Skip it\x2c if you have an another manager,※ 別マネージャを使用する場合はスキップして下さい
S08,※ If the files exist\x2c they will not be generated ,※ ファイルが既に存在する場合は生成されません
S09,<Undefined>,<未定>
S10,<Undefined> will be resolved when you fill out the blanks,ブランクを埋めて<未定>部分を解消して下さい。
S11,Create a new state-machine,新規ステートマシン作成
S12,Open File Dialog,ファイルダイアログを開く
S13,Open,開く
S14,Drop A File Here!,ファイルをここに\nドロップして下さい!
S15,Drop File And Open StateGo,ドロップしたファイルから開く
S16,Analyze the dropped file and open the related StateGo file.,ドロップしたファイルを解析して関連するStateGoファイルを開く
S20,Search file,ファイル検索
S21,File name,ファイル名
S22,Input file name,検索したいファイル名を入力
S23,Search,検索
S24,Candidates,候補
S25,▲ Fold,▲ 畳む
S26,▼ Unfold,▼ 広げる
,,
,,
V01,Save and Convert(Ctrl+S),保存と変換(Ctrl+S)
V02,Doc folder,ドキュメントフォルダ
V03,Source folder,ソースフォルダ
V04,Open source,ソースへ
V05,Implement souce,実装ソースへ
V06,Macro file,マクロファイル
V07,User Button,ユーザボタン
C01,Select a language starter kit.,スタートキットを選択してください。
C02,Display the description by double-clicking on the starter kit.,ダブルクリックでスタートキットの詳細が確認できます。
C03,Specify the state machine name.,ステートマシン名を設定してください。
C04,Specify the folder in which documents can be save.,ドキュメント用フォルダを指定してください。
C05,Specify the folder in which source code can be save.,ソースコード用フォルダを指定してください。
C06,Do you need to copy the manager file?,マネージャファイルをコピーしますか？
C07,In a case that the manger file exists in another folder because the manger file is A common file of all state machines.,マネージャファイルは共通で利用するので、別フォルダに既にある場合があります。
C08,This tool will create the files below.,以下のファイルを作成します。
C09,If the files exist\x2c they will not be generated ,ファイルが既に存在する場合は生成されません。
C10,Description,詳細
C11,...will be skipped becase of its existance.,・・・既に存在するためスキップされます。
C12,TO SIMPLE PATH INPUT,簡易パス入力へ
C21,Go to specify name,ステート名設定へ
C22,Go to specify doc path,ドキュメントパス設定へ
C23,Go to specify src path,ソースパス設定へ
C24,Go to check maneger copy ,マネージャーコピー確認へ
C25,Go to copy process,コピー作業へ
newformatwarn,Due to the new format migration from Beta6\x2c the Excel file will be deleted.,Beta6からの新フォーマット移行のため、Excelファイルは削除されます。
,,
,,
,,
click_example_input,Click below example for input.,以下のサンプルをクリックすると入力
option_for_vs2015,For VS2015～2019\x2c call Jump tool.,VS2015と2017用に行番号ジャンプツールを使用する
bacause_vs2015,Because Visual Studio 'jump to line number' command option\ndoes not work currently versions,VS2015\x2c 2017にてコマンドラインからの行ジャンプが利用できないための措置です。
how_to_record_sourceeditor,Source editor will be adopted for generating sources. The editor path will be recorded to the regstory using the starter kit's programming language name and framework name as ID.,"生成ソースオープン時に指定エディタが使用されます。言語名とフレームワーク名から生成したキーで、エディタをレジストリに登録記録します。
"
set_source_editor_path,Set source editor path,ソースエディタ設定
,,
menu_file,File,ファイル
menu_convert_setting,Convert Settings,コンバート設定
menu_tools,Tools,ツール
menu_system,System,システム
menu_windows,Windows,ウインドウ
menu_file_new_or_load,Create or Open,新規作成 / 開く
menu_file_save,Save(Ctrl+Shift+S),保存(Ctrl+Shift+S)
menu_file_save_convert,Save and Convert(Ctrl+S),保存と変換(Ctrl+S)
menu_file_reload,Reload,リロード
menu_file_config,Change Work Space,作業スペース変更
menu_file_refresh,Refresh,リフレッシュ
menu_file_copy_image,Copy Image,イメージコピー
menu_file_exit,Exit,終了
menu_file_upgrade,Upgrade psgg files,データ(psgg)ファイルをアップグレード
menu_file_importexcel,Import excel ,エクセルインポート
menu_edit_template_src,Edit template-source,ソーステンプレート編集
menu_edit_template_func,Edit template-function,関数テンプレート編集
menu_edit_items,Edit item list,アイテムリスト編集
menu_edit_setting,Edit Settings,設定編集
menu_tools_find,Find(Ctrl+F),検索(Ctrl+F)
menu_tools_set_src_editor,Set Source Editor,ソースエディタ設定
menu_tools_set_user_cstm,Set User Button,ユーザボタン設定
menu_tools_setlabel,Set Label,ラベル設定
menu_tools_createclone,Create Clone,クローン生成
menu_tools_search_gofile,Search StateGo File,StateGo ファイル検索
menu_tools_opencc ,Open Copy Collection,コピーコレクション開く
menu_tools_createcc,Create Copy Collection Folder,コピーコレクション作業フォルダ作成
menu_help,Help,ヘルプ
mhp_basicop,Basic Operation,基本操作
mhp_ref,Reference,リファレンス
mhp_contact,Contact,コンタクト
mhp_hp,Homepage,ホームページ
mhp_about,About,情報
menu_output,Output,アウトプット
menu_flowchart,Flow Chart,フローチャート
menu_setdonoteditmark,Set do-not-edit mark,編集禁止マーク挿入
menu_donoteditmark-on,ON,ON
menu_donoteditmark-off,OFF,OFF
,,
,,
,,
contents_draw_cmt,comment,コメント
contents_draw_thumb,thumbnail,サムネイル
contents_draw_contents,contents,コンテンツ
hide_s_in_state,Hide 'S_' in 'state'.,stateのS_を非表示
hide_brackets_contents,Hide '[ ]' in 'contents'.,contentsの[…]を非表示
hide_this_contents,Hide 'this.' in contents.,contentsのthisを非表示
hide_if_branch,Hide 'if'\x2c'elif' and 'br_' in 'branch'.,branchのif\x2c elifとbr_を非表示
hide_basename_state,Hide 'basestate' name in 'state' ,stateのbasestateを非表示
hide_basestate_contents,Hide 'basestate' contents.,contentsのbasestate内容を非表示
hide_branch_comment,hide_branch_comment,branchのコメント非表示
,,
,,
,,
,,
,,
,,
notice,Notice,通知
tabpagemain,Main,メイン
tabpagecontents,Contents,コンテンツ
tabpagecustom,Custom,カスタム
tabpagehelp,Help,ヘルプ
tabpagesrc,Src,ソース
vf_excelnotexist,The excel file does not exist.,エクセルファイルが存在しません。
vf_excelreadonly,The excel file is a READ ONLY file.\nContinue?,エクセルファイルがリードオンリー属性です。\n続けますか？
vf_psggnotexist,The psgg file does not exist.,psggファイルが存在しません。
vf_psggreadonly,The psgg file is a READ ONLY file.\nContinue?,psggファイルがリードオンリー属性です。\n続けますか？
vf_askconvert,This tool will save data and convert.\nContinue?,データ保存後、コンバートを行います。\n続けますか？
vf_subroutinepairerror,Subroutine 'start' and 'return' pair is inconsistent.,サブルーチンのスタートとリターンが１対１ではありません。
,,
,,
,,
sm_edit,Edit items(Enter),アイテム編集(Enter)
sm_branch,Edit Branch,分岐編集
sm_copy,Copy,コピー
sm_delete,Delete,削除
sm_moveto,Change group,グループ変更
sm_copyto,Copy to clipboard(Ctrl+C),コピー(Ctrl+C)
sm_link,Jump to link,リンクへジャンプ
sm_open_src,Open source(Ctrl+J),ソースへ(Ctrl+J)
sm_view_exstate,View this state's group,このステートのグループへ
sm_change,Change category,種別変更
sm_cstate,To State,ステート
sm_cembed,To Embed,組込み
sm_ccomment,To Comment,コメント
smcs_setstop,Set Stop,停止設定
smcs_resetstop,Reset Stop,停止解除
smcs_setbase,Set Base,ベース設定
smcs_resetbase,Reset Base,ベース解除
smcs_setpass,Set Pass,パス設定
smcs_resetpass,Reset Pass,パス設定解除
sm_focus,Focus,フォーカス
sm_copystatename,Copy state's name,ステート名コピー
sm_fbranch,Branch,分岐
sm_finflow,Inflow,流入先
sm_fbase,Base,参照元ベース
sm_fbase_referred,Referred Base,参照先ベース
sm_fnextstate,Next State,次ステート
sm_fgosub,Go Sub,Go Sub
sm_remcmt,Remove comment,コメント消去
gf_makegroup,Make group,グループ作成
gf_delete,Delete,削除
gf_copyto,Copy to clipboard(Ctrl+C),コピー(Ctrl+C)
gf_align_h,Align horizontally,水平に揃える
gf_align_v,Align vertically,垂直に揃える
gf_co,Comment out,コメントアウト
gn_enter,Enter(Ctrl+E),グループ内へ入る(Ctrl+E)
gn_edit,Edit,編集
gn_moveto,Change Group,グループ変更
gn_ungroup,Ungroup,グループ分解
gn_copy,Copy,コピー
gn_delete,Delete,削除
gn_copyto,Copy to clipboard(Ctrl+C),コピー(Ctrl+C)
bm_leave,Leave(Ctrl+L),グループを出る(Ctrl+L)
bm_newstate,New,新規生成
bm_paste,Paste(Ctrl+V),ペースト
bm_paste_wo_out,Paste without outflow,ペースト（流出先除外）
bm_pastebasemode,Paste as base,ペースト（ベースとして）
bm_history,History,変更履歴
bm_historyshow,Panel ON/OFF(Ctrl+H),パネル ON/OFF(Ctrl+H)
bm_historyback,Back(Ctrl+Z),戻す(Ctrl+Z)
bm_historyforward,Forward(Ctrl+Y),進める(Ctrl+Y)
bm_nstate,State,ステート
bm_nembed,Embed,組込み
bm_ncomment,Comment,コメント
bm_normal,Default,汎用(デフォルト)
bm_loop,Loop,ループ
bm_gosub,Call Subroutine,サブルーチン呼出し
bm_substart,Subroutine Start,サブルーチン開始
bm_subreturn,Subroutine End(Return),サブルーチン終了(リターン)
bm_start,Start,開始
bm_end,End,終了
bm_pass,Pass,パス(通過)
bm_stop,Stop,停止
bm_track,Focus history,フォーカス履歴
bm_trackshow,Panel ON/OFF(Ctrl+T),パネル ON/OFF(Ctrl+T)
bm_trackback,Back,戻す
bm_trackforward,Forward,進める
bm_focus,Focus,フォーカス
bm_focushead,Head,先頭
bm_focustail,Tail,末尾
,,
,,
sm_sys_lanj,Japanese,日本語
sm_sys_lane,English,English
,,
iom_godialog,Open Outflow Dialog,流出先指定ダイアログ
iom_insert,Insert New State,新規ステート挿入
iom_clear,Clear Outflow,流出先削除
,,
wdg_alredyopend,Specified file has been opened already. This tool will be closed.,指定ファイルは既に開かれています。ツールを終了します。
wdg_alredyopend_exit,Specified file has been opened already. This tool will be closed.,指定ファイルは既に開かれています。ツールを終了します。
,,
options_wo_confirm,without confirmation,変換の前に確認しない
options_w_confirm,with confirmation,変換の前に確認する
options_enable_clipboard,enable to output to clipboard,クリップボードへ出力する
options_disable_clipboard,disable to output to clipboard,クリップボードへ出力しない
options_ignore_case,ignore case of state,大文字小文字を同一視
options_not_ignore_case,not ignore case of state,大文字小文字を区別
headerinfo_save_with_excel,save and load with excel,エクセルファイルを入出力で使用
headerinfo_save_psgg_only,save and load psgg only,psggファイルを入出力で使用
options_custom_prefix_yes,Custom prefix of state name,ステート名のプリフィックスをカスタマイズ
options_custom_prefix_no,Use specific prefix of stata neme,ステート名に規定のプリフィックスを使用
options_mrb_enable_yes,Multiple mouse button mode,マルチマウスボタンモード
options_mrb_enable_no,Single mouse button mode,シングルマウスボタンモード
options_historypanelonstart_yes,Show history panels on start.,起動時に履歴関連パネルを表示
options_historypanelonstart_no,Hide Histroy panels on start.,起動時に履歴関連パネルを非表示
options_forceclose_ifviewchangeonly_yes,No confirmation if viewing group changes on exit.,終了時、閲覧グループの変更で確認を求めない
options_forceclose_ifviewchangeonly_no,Need to confirm if viewing group changes on exit.,終了時、閲覧グループの変更で確認を求める
options_setdefault_comment_yes,Add a specific comment when creating a state. ,ステート生成時にコメントを追加する
options_setdefault_comment_no,Do not add a comment when creating a state.,ステート生成時にコメントを追加しない
options_jump_if_statego_exist_yes,Open existing StateGo without notice.,既存StateGoへ自動遷移する
options_jump_if_statego_exist_no,Open existing StateGo with notice.,既存StateGoへ自動遷移しない
options_lexical_color_on,Lexical color enabled.,字句解析による色指定有効
options_lexical_color_off,Lexical color disabled.,字句解析による色指定無効
,,
cmrb_sym,Symbol,記号
cmrb_gothic,Gothic,ゴシック
cmrb_script,Script,スクリプト
cmrb_j_gothic,Japanese-Gothic,日本語ゴシック
cmrb_j_gyosyo,Japanese-Script,日本語行書
cmrb_none,None,無し
,,
sysm_sytem,Others,その他
sysm_language,Language,言語
sysm_focustrack,Focus Record Panel ON/OFF,フォーカス履歴パネル ON/OFF
sysm_historyrecord,History Record Panel ON/OFF,変更履歴パネル ON/OFF
sysm_optionform,Option,オプション
sysm_home,H,頭
sysm_end,T,尾
sysm_copyfilename,Copy Filename,ファイル名コピー
sysm_winlist,Window Select,ウインドウ選択
sysm_setstkp,Set Starter Kit Path,スタートキットパス設定
sysm_scramble,Scramble Text,スクランブル化
sysm_scramble_none,None,なし
sysm_scramble_1,Pattern 1,パターン１
sysm_scramble_2,Pattern 2,パターン２
sysm_scramble_3,Pattern 3,パターン３
,,
,,
inout_ctrl_copy,*Ctrl+Click to copy its name.,※Ctrl+クリックでステート名コピー
dirty_pos,Some positions are changed.,位置が変更されています。
dirty_view,Viewing group is changed.,閲覧グループが変更されています。
dirty_changed,Item values are changed.,アイテムが変更されています。
StateGoWindowList,StateGo Window List,StateGoウインドウリスト
open_winlist_bydlg,Open\nby\ndialog,ダイアログ\nで\n開く
,,
CreateCloneForm,Create Clone,Create Clone(クローン生成)
ccf_statemashinename,This statemachine name,本ステートマシン名
ccf_newstatename,New statemachine name,新ステートマシン名
ccf_docfolder,StateGo data file's folder,StateGo データファイル用フォルダ
ccf_genfolder,Generated source folder,ソース用フォルダ
ccf_desc,1. Manager file will not be copied.\n2. If statemachine name is used at unexpected places in documents and  sources\x2c the result will not be able to be used as its clone. ,1.マネージャファイルはコピー対象外。\n2.ステートマシン名がドキュメントやソースの予期しない場所で使用されている場合、クローンが正しく動作しません。
cfc_filecreated,The below files will be created.,以下のファイルを生成します。
ccf_done,Created clone files.,クローン生成が成功しました。
ccf_errore,Cloning files exist or state machine name is not valid. The clone process was terminated.,クローンファイルが既に存在します。または、ステートマシン名が正しくありません。処理を停止しました。
ccf_copy_above,※ COPY ABOVE,※上からコピー
,,
w_nodatawasfoundsaveini,No data was found at save ini.,save iniにデータが見つかりませんでした。
w_configsavedatacannotbreadfromtp,Config Save Data cannot be read from tempfile.,設定保存データを一時ファイルから読み取ることができません。
w_configsavefromexcel,Config Save Data cannot be read from excel.,設定保存データをExcelから読み込むことができません。
w_inicouldnotread,in ini could not be read.,iniが読めませんでした。
w_internalcoverterdoesnotexit,the internal converter does not exist,内部コンバータが存在しません
w_preparedosenotexist,the prepare does not exist,準備APIが存在しません。
w_currentisroot,The current path is the root.,カレントパスはルートです。
w_exceededmaxfilter,Exceeded max number of states in the fillter :,フィルタの最大状態数を超えました。
w_excludefilter,Excluded by the filleter : ,フィルタによって除外されます。
w_selectedsatecannotgroup,Selected the STATEs cannot be made to group.,選択したステートをグループ化することはできません。
w_targetcannotbemoved,Target can not be moved.,ターゲットは移動できません。
w_filenotfoundcache,File not found : ,ファイルが見つかりません ：
w_undefinednameincache,Undefined Name in Excel Cache :,Excel キャッシュに名前が定義されていません。
w_undefinedstateincache,Undefined State in Excel Cache :,Excelキャッシュのステートが定義されていません。
w_thestatewasnotexistbug,The state was not exist !!! Maybe\x2c it is a bug!!,ステートは存在しません。 おそらくバグ。
w_itemnamedup,Item Name Duplicated :,項目名が重複しています：
w_statenamedup,State Name Duplicated :,状態名が重複しています。
w_faildtodrawthumb,Faild to draw thumbnai. ,サムネイルを描画するのに失敗しました。
w_clipboardtextisnull,Clipboard text is null.,クリップボードのテキストがnullです。
w_clipboardbuffernotvalid,Clipboard buffer is not valid.,クリップボードバッファが無効です。
w_faildtoimportclipboard,Faild to import from clipboard.,クリップボードからインポートできませんでした。
w_cannotfindappropiatedestgroup,Can not find an appropriate desitiona in the group.,グループに適切な行先が見つかりません。
w_errorcreateclonechangetext,Error at Create Clone Change text in file :,ファイル内のクローン変更テキストの作成時のエラー：
w_nothingchanged,Nothing changed!,何も変わっていません！
w_theinputtextisinvalid,+,入力テキストが無効です。
w_errorgroupname,Error groupname : ,エラーグループ名：
w_specifiedgroupissame,The specified group is same.,指定されたグループは同じです。
w_theinputnameisnothing,The input name is nothing.,入力名は何もありません。
w_theinputnameisinvalid,he input name is invalid.,入力名が無効です。
w_theinputnameexisted,The input name has already existed.,入力名は既に存在しています。
w_numbers_not_digits,Numbers were not digits.,入力は数字ではありませんでした。
w_theminimumnumberis10,The minimum number is 10,最小数は10です
w_generatedfileismissing,Generated file is missing.,生成されたファイルがありません。
w_implementationsourcefileinotdefine,Implemetation source file is not defined.,実装元ファイルが定義されていません。
w_macrofilenotdefined,Macro file is not defined.,マクロファイルが定義されていません。
w_sourcefoldercannotfound,Source folder cannot be found.,ソースフォルダが見つかりません。
w_faildtoupdatetemplatesource,Failed to update template-source.,template-sourceの更新に失敗しました。
w_faildtoupdatetempfunc,Failed to update template-func.,template-funcの更新に失敗しました。
w_failedtoupdatesettingini,Failed to update setting.ini.,setting.iniの更新に失敗しました。
w_faildtoupdatehelpini,Failed to update help.ini.,help.iniの更新に失敗しました。
w_nocommandusercustombutton,No command in the user custom button.,ユーザーのカスタムボタンにコマンドはありません。
w_cmdinuserctmbtnnotexist,The command in the user custom button does not exist.,ユーザーのカスタムボタン内のコマンドが存在しません。
w_executeuserctmcmd,Execute user custom command : ,ユーザーカスタムコマンドを実行します。
w_cmdinuserctmbutnexception,The command in the user custom button has a exception. ,ユーザーのカスタムボタンのコマンドには例外があります。
w_clipboardisnull,Clipboard is null.,クリップボードはnullです。
w_bufferisnotvalidd,Buffer is not valid.,バッファが無効です。
w_clipboardbuffernotmatch,Clipboard buffer does not match,Clipboardバッファが一致しません
w_statenamenotvalidmakedapproname,State name is not valid.  An aproproate name was created.,ステート名が無効です。 適当な名前が作成されました。
w_statenameexistsmakedaname,The state name exists.   An aproproate name was created.,ステート名が存在します。 適当な名前が作成されました。
w_faildtodrawtumbnail,Failed to draw thumbnail.,サムネイルを描画できませんでした。
